Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520:570:620,0.1507,0.0314,0.3253,0.0142,1458.3319
520:690,0.292,0.0064,0.0106,0.2321,1310.5033
520:570:690,0.3592,0.0678,0.0139,0.1718,1201.2711
520:620,0.533,0.0136,0.773,0.0246,1459.9164
520:690,0.6659,0.0166,0.0149,0.2688,1204.2111
520:690,0.362,0.0008,0.0095,0.0844,1298.4175
520:690,0.3087,0.0026,0.0097,0.1113,1300.6519
520:620:690,0.1408,0.0077,0.5126,0.0751,1559.4941
520:620,0.2036,0.0066,0.1694,0.0254,1324.123
520:570,0.1209,0.0846,0.0219,0.0248,1168.7543
520:690,0.4091,0.0031,0.0096,0.1443,1196.3589
520:690,0.6018,0.004,0.0118,0.2431,1201.8906
520:620,1.4604,0.0016,0.068,0.0284,1357.5975
520,0.235,0.0016,0.0247,0.0311,1365.5977
520:690,0.2681,0.0032,0.0115,0.1192,1188.5616
520:690,0.1901,0.0023,0.0113,0.0892,1265.4515
520:690,0.6297,0.0155,0.0183,0.3238,1195.2208
520:570:690,1.2696,0.0219,0.0113,0.2831,1264.345
520:620,0.1578,0.0029,0.0392,0.0194,1128.3624
520,0.1285,0.0006,0.0113,0.0358,1088.4769
520:620,0.1432,0.0075,0.2381,0.0377,1352.6361
520:570:620:690,0.5357,0.0245,0.1417,0.1762,1264.2489
520:620:690,0.1403,0.0076,0.1351,0.0968,1221.3309
520:690,0.7322,0.0178,0.0148,0.2316,1138.2874
520:690,0.6634,0.0201,0.0183,0.2429,1274.1691
520:570:690,0.1497,0.0244,0.0094,0.0535,1184.4305
520:620,0.1852,0.0039,0.4133,0.0494,1206.8225
520:690,0.6549,0.0092,0.0152,0.2017,1077.9795
520:690,0.166,0.0068,0.0132,0.0603,1087.2183
520:620:690,0.2761,0.0054,0.2852,0.0961,1252.0945
520:570:690,1.0081,0.0243,0.0145,0.3047,1269.4419
520:690,0.7195,0.0192,0.032,0.2495,1258.4647
520:690,0.3593,0.0066,0.01,0.0759,1122.0984
520:690,0.4977,0.0087,0.0173,0.2514,1151.3407
520:690,0.6388,0.02,0.0162,0.1987,1212.5421
520:690,0.1447,0.0012,0.0115,0.0948,1081.6307
520,0.1366,0.0067,0.0109,0.0339,1279.5288
520:570:690,0.6741,0.0675,0.0184,0.2795,1141.7247
520,0.2672,0.0004,0.0207,0.02,1095.894
