Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
*: Opal 520: Opal 690,0.4147,0.0023,0.0019,0.054,3301.7136
*: Opal 520,0.2002,0.0003,0.0016,0.0156,3283.9231
*: Opal 520: Opal 690,0.1519,0.0023,0.0056,0.047,1466.0637
*: Opal 520: Opal 690: Opal 570,0.4581,0.0246,0.004,0.0348,1464.1084
*: Opal 520: Opal 690: Opal 570,0.2252,0.0078,0.0023,0.0334,1428.6105
Opal 620: Opal 520: Opal 690: Opal 570,0.2918,0.0286,0.1993,0.0325,1456.3564
*: Opal 520,0.2407,0.0001,0.0105,0.0035,1456.9626
*: Opal 520: Opal 690: Opal 570,0.3987,0.0331,0.0027,0.0399,1641.6604
*: Opal 520: Opal 690,0.2402,0.0008,0.0026,0.026,1570.639
Opal 620: Opal 520: *,0.2215,0.0002,0.0771,0.0043,1834.2675
*: Opal 520: Opal 690: Opal 570,0.3926,0.0277,0.0032,0.0352,1583.4235
*: Opal 520: Opal 690: Opal 570,0.396,0.0297,0.0028,0.0267,1646.2234
*: Opal 520: Opal 570,0.2464,0.0105,0.005,0.0229,1637.0261
*: Opal 520: Opal 690,0.3257,0.0022,0.0013,0.0333,2264.762
*: Opal 520,0.155,0.0021,0.0101,0.0087,1567.8959
Opal 620: Opal 520: *,0.2468,0.0001,0.149,0.0171,2015.2249
*: Opal 520: Opal 690,0.2718,0.0035,0.0102,0.0289,1574.4016
Opal 620: Opal 520: *,1.6068,0,0.0661,0.0046,2133.9749
*: Opal 520: Opal 690: Opal 570,0.3001,0.0374,0.0033,0.0342,1582.3871
*: Opal 520: Opal 570,0.381,0.0352,0.0028,0.0116,1890.0977
Opal 620: Opal 520: *,1.9031,0,0.1784,0.0036,2139.4929
*: Opal 520,0.2648,0.0044,0.0037,0.0143,1893.8274
Opal 620: Opal 520: *,1.4818,0.0008,0.0475,0.0109,1594.2725
Opal 620: Opal 520: *,2.0184,0.0001,0.1374,0.0039,1926.8002
Opal 620: Opal 520: *,1.6165,0.0013,0.1494,0.0058,1932.9084
*: Opal 520,0.1906,0.0007,0.0209,0.0188,2248.0354
*: Opal 520: Opal 570,0.1564,0.0096,0.0032,0.0184,1761.2186
Opal 620: Opal 520: *,0.7414,0,0.1119,0.0058,1557.4083
*: Opal 520: Opal 690,0.3205,0.0047,0.0019,0.0441,2259.772
*: Opal 520,0.1506,0.0001,0.0063,0.0099,1741.2198
Opal 620: Opal 520: *,0.4075,0,0.0554,0.008,2049.9854
Opal 620: Opal 520: *,0.7013,0,0.0507,0.0046,1525.2103
*: Opal 520,0.19,0.0005,0.0161,0.0064,1663.7573
*: Opal 520,0.2148,0.0052,0.0028,0.0182,1597.0599
Opal 620: Opal 520: *,3.6813,0,0.0381,0.0058,2290.6311
*: Opal 520: Opal 690: Opal 570,0.4015,0.0127,0.0026,0.0765,1810.1532
*: Opal 520: Opal 690: Opal 570,0.551,0.0233,0.0024,0.0681,1815.843
Opal 620: Opal 520: *,0.1531,0.0007,0.0574,0.0116,1696.2577
*: Opal 520: Opal 690,0.2709,0.0012,0.0158,0.0268,2104.5205
*: Opal 520: Opal 690,0.2935,0.0018,0.0038,0.0494,2193.2051
*: Opal 520: Opal 690,0.4635,0.0007,0.001,0.041,1991.5027
*: Opal 520,0.3801,0,0.0193,0.0192,2301.2168
*: Opal 520,0.1873,0.0036,0.0036,0.021,1653.7617
Opal 620: Opal 520: *,2.4234,0.0005,0.0506,0.0043,1630.9657
